,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,38, Private,196207, Masters,11, Divorced, Other-service, Not-in-family, White, Male,1575,0,34, Jamaica, <=50K
1,46, Private,276713, Masters,9, Divorced, Handlers-cleaners, Wife, Black, Female,222,0,40, United-States, <=50K
2,42, Private,189322, Masters,12, Divorced, Exec-managerial, Wife, White, Male,0,0,41, Jamaica, >50K
3,41, Private,182208, Masters,9, Divorced, Other-service, Wife, Black, Male,3321,0,40, Jamaica, >50K
4,38, Private,252161, Masters,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,56, Jamaica, >50K
5,44, Private,241758, Masters,10, Divorced, Exec-managerial, Wife, White, Male,2739,0,45, Jamaica, <=50K
6,43, Private,191166, Masters,12, Divorced, Exec-managerial, Wife, White, Male,191,0,51, Jamaica, <=50K
7,41, Private,225721, Masters,11, Divorced, Prof-specialty, Wife, Black, Male,0,0,37, Jamaica, >50K
8,45, Private,197363, Masters,11, Divorced, Other-service, Wife, White, Male,154,0,46, Jamaica, <=50K
9,41, Private,159048, Masters,8, Divorced, Other-service, Wife, Black, Male,331,0,45, Jamaica, >50K
