,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,40, Private,198837, 9th,12, Divorced, Prof-specialty, Not-in-family, White, Female,11345,0,27, United-States, <=50K
1,42, Private,228250, HS-grad,11, Never-married, Other-service, Wife, White, Female,8914,0,30, Cuba, <=50K
2,40, Private,175717, 9th,13, Never-married, Exec-managerial, Not-in-family, White, Female,4574,0,36, United-States, <=50K
3,37, Private,149527, Some-college,12, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,8401,0,36, United-States, <=50K
4,39, Private,240470, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,3854,0,41, United-States, <=50K
5,46, Private,239283, Masters,12, Never-married, Exec-managerial, Wife, White, Female,13133,0,31, United-States, <=50K
6,45, Private,188941, 9th,12, Divorced, Exec-managerial, Wife, White, Female,11044,0,45, United-States, <=50K
7,45, Private,184617, Masters,12, Never-married, Exec-managerial, Wife, White, Female,9011,0,24, United-States, <=50K
8,47, Private,170027, 9th,10, Divorced, Other-service, Wife, White, Female,4401,0,34, United-States, >50K
9,38, Private,191278, 9th,11, Divorced, Exec-managerial, Wife, White, Female,357,0,49, United-States, <=50K
